pair1,pair2,study,species
Hedley,Mkogwe,Wilmers,Panthera leo
B03F_5622/5974,B04M_5619,Serieys,CoyoteValley
PEC120,PEC131,Wheeldon,Canis latrans
id18,lana,Gustavo,Cerdocyon thous
16M,4M,Wilmers,Puma concolor
barros,derek,Gustavo,Dataset1
barros,beverly,Gustavo,Dataset1
NCM12,NCM8,Bogdan,Caracal caracal
PEC108,PEC129,Wheeldon,Canis latrans
Lova,Spank,Walton,Vulpes vulpes
PEC028,PEC032,Wheeldon,Canis latrans
id18,mel,Gustavo,Cerdocyon thous
PEC108,PEC131,Wheeldon,Canis latrans
PEC087,PEC092,Wheeldon,Canis latrans
PEC066,PEC095,Wheeldon,Canis latrans
B10F_5972,B17F_5621,Serieys,CoyoteValley
Bobcat_B31M,Bobcat_GF01F,Serieys,AromasHills
BVOB,JVOJ,Bertreaux,Vulpes lagopus
PEC086,PEC088,Wheeldon,Canis latrans
Ingvar_1,Ronja,Walton,Vulpes vulpes
guidon,shack,Gustavo,Dataset1
150041,164900,Gustavo,Cerdocyon thous
bing,shack,Gustavo,Dataset1
Ben,Ray,Roshier,Dataset1
PEC106,PEC107,Wheeldon,Canis latrans
Con,Jon,Roshier,Dataset1
B09M_5609,B13M_5616,Serieys,CoyoteValley
BORR,OBBB,Bertreaux,Vulpes lagopus
PEC120,PEC129,Wheeldon,Canis latrans
B19F_5971,B23M_5624,Serieys,CoyoteValley
NCF1,NCM4,Bogdan,Caracal caracal
B09M_5609,B12M_5617,Serieys,CoyoteValley
Disa,Prospero,Serieys,Caracal caracal
PEC040,PEC044,Wheeldon,Canis latrans
id16,id18,Gustavo,Cerdocyon thous
PEC080,PEC083,Wheeldon,Canis latrans
NCF1,NCF2,Bogdan,Caracal caracal
PEC089,PEC094,Wheeldon,Canis latrans
CAN13,CAN53,Gustavo,Leopardus geoffroyi
Astrid,Boadicea,Wilmers,Panthera leo
Astrid,Davy,Wilmers,Panthera leo
52F,53F,Wilmers,Puma concolor
PEC070,PEC074,Wheeldon,Canis latrans
PEC006,PEC012,Wheeldon,Canis latrans
BVOB,OJOO,Bertreaux,Vulpes lagopus
PEC114,PEC129,Wheeldon,Canis latrans
150041,150552,Gustavo,Cerdocyon thous
PEC107,PEC137,Wheeldon,Canis latrans
NCM11,NCM7,Bogdan,Caracal caracal
Jasiri,Maggie,Wilmers,Panthera leo
BVOB,RVJO,Bertreaux,Vulpes lagopus
Bobcat_B27M,Bobcat_GF01F,Serieys,AromasHills
PEC107,PEC113,Wheeldon,Canis latrans
PEC008,PEC011,Wheeldon,Canis latrans
53F,66M,Wilmers,Puma concolor
B17F_5621,B23M_5624,Serieys,CoyoteValley
Charlotte,Mkogwe,Wilmers,Panthera leo
PEC005,PEC014,Wheeldon,Canis latrans
Bobcat_B28M,Bobcat_GF01F,Serieys,AromasHills
PEC107,PEC116,Wheeldon,Canis latrans
PEC070,PEC079,Wheeldon,Canis latrans
NCM10,NCM12,Bogdan,Caracal caracal
79M,81F,Wilmers,Puma concolor
Bobcat_B37M,Bobcat_B38M,Serieys,AromasHills
B15M_5612,B25M_5618,Serieys,CoyoteValley
PEC070,PEC082,Wheeldon,Canis latrans
T02,T04,GreatLakesWolf,Canis lupus x lycaon
PEC122,PEC129,Wheeldon,Canis latrans
PEC042,PEC059,Wheeldon,Canis latrans
id18,luck,Gustavo,Cerdocyon thous
Janne,Putin,Walton,Vulpes vulpes
PEC083,PEC088,Wheeldon,Canis latrans
PEC105,PEC131,Wheeldon,Canis latrans
PEC043,PEC059,Wheeldon,Canis latrans
PEC006,PEC011,Wheeldon,Canis latrans
Degana,Faya,Palomares,Felis silvestris
PEC009,PEC030,Wheeldon,Canis latrans
Lynx_Ketamina,Lynx_Kun,Extremadura,Lynx pardinus
B11F_5967,B16M_5973,Serieys,CoyoteValley
PEC105,PEC107,Wheeldon,Canis latrans
B01M_5623,B07M_5627,Serieys,CoyoteValley
22M,7F,Wilmers,Puma concolor
PEC024,PEC028,Wheeldon,Canis latrans
150041,150462,Gustavo,Cerdocyon thous
BOBB,RMBR,Bertreaux,Vulpes lagopus
PEC081,PEC129,Wheeldon,Canis latrans
B13M_5616,B18F_5614,Serieys,CoyoteValley
RMBR,VORB,Bertreaux,Vulpes lagopus
Bobcat_B34F,Bobcat_B38M,Serieys,AromasHills
B12M_5617,B18F_5614,Serieys,CoyoteValley
BVOB,ORRR,Bertreaux,Vulpes lagopus
PEC042,PEC066,Wheeldon,Canis latrans
Atticus,Azure,Serieys,Caracal caracal
B13M_5616,B22M_5969,Serieys,CoyoteValley
B03F_5622/5974,B23M_5624,Serieys,CoyoteValley
B12M_5617,B22M_5969,Serieys,CoyoteValley
PEC043,PEC066,Wheeldon,Canis latrans
Lynx_Majadal,Lynx_Mayo,Extremadura,Lynx pardinus
B11F_5967,B20F_5968,Serieys,CoyoteValley
Hedley,Maggie,Wilmers,Panthera leo
PEC094,PEC095,Wheeldon,Canis latrans
JBOR,JVOJ,Bertreaux,Vulpes lagopus
PEC047,PEC054,Wheeldon,Canis latrans
BOBB,JVOJ,Bertreaux,Vulpes lagopus
57M,62M,Wilmers,Puma concolor
12F,4M,Wilmers,Puma concolor
Diabla,Maggie,Wilmers,Panthera leo
B04M_5619,B07M_5627,Serieys,CoyoteValley
B14M_5613,B19F_5971,Serieys,CoyoteValley
PEC030,PEC032,Wheeldon,Canis latrans
11F,7F,Wilmers,Puma concolor
BOBB,OBOB,Bertreaux,Vulpes lagopus
B15M_5612,B16M_5973,Serieys,CoyoteValley
OBOB,VORB,Bertreaux,Vulpes lagopus
Lynx_Jerez,Lynx_Kakapo,Extremadura,Lynx pardinus
BBJO,RMBR,Bertreaux,Vulpes lagopus
PEC005,PEC009,Wheeldon,Canis latrans
B23M_5624,B25M_5618,Serieys,CoyoteValley
Cherry,Pine,Cagan,Canis lupus
23F,25F,Wilmers,Puma concolor
PEC019,PEC028,Wheeldon,Canis latrans
JMVJ,JVOJ,Bertreaux,Vulpes lagopus
PEC106,PEC131,Wheeldon,Canis latrans
id15,per,Gustavo,Cerdocyon thous
Col,Vic,Roshier,Dataset2
CAN48,CAN49,Gustavo,Leopardus wiedii
PEC112,PEC129,Wheeldon,Canis latrans
Jasper,Oryx,Serieys,Caracal caracal
B15M_5612,B20F_5968,Serieys,CoyoteValley
id17,id18,Gustavo,Cerdocyon thous
Daniella,Hen,Walton,Vulpes vulpes
PEC107,PEC108,Wheeldon,Canis latrans
B14M_5613,B17F_5621,Serieys,CoyoteValley
PEC009,PEC018,Wheeldon,Canis latrans
B10F_5972,B16M_5973,Serieys,CoyoteValley
Chumvi,Morani,Wilmers,Panthera pardus
BBJO,JVOJ,Bertreaux,Vulpes lagopus
PEC029,PEC030,Wheeldon,Canis latrans
PEC052,PEC059,Wheeldon,Canis latrans
PEC090,PEC092,Wheeldon,Canis latrans
derek,schaller,Gustavo,Dataset1
beverly,schaller,Gustavo,Dataset1
B05F_5628/5620,B22M_5969,Serieys,CoyoteValley
BBJO,OBOB,Bertreaux,Vulpes lagopus
PEC135,PEC137,Wheeldon,Canis latrans
Dalvinha,M1,Gustavo,Puma concolor
Clint,Faya,Palomares,Felis silvestris
derek,peary,Gustavo,Dataset1
PEC004,PEC014,Wheeldon,Canis latrans
beverly,peary,Gustavo,Dataset1
Jasiri,Mkogwe,Wilmers,Panthera leo
Grupo005_Id032,Grupo005_Id033,Gustavo,Leopardus wiedii
PEC107,PEC120,Wheeldon,Canis latrans
PEC027,PEC032,Wheeldon,Canis latrans
PEC086,PEC094,Wheeldon,Canis latrans
Margarita,Merimela,Wilmers,Panthera leo
B10F_5972,B20F_5968,Serieys,CoyoteValley
Patsuezo,Tejo,Palomares,Felis silvestris
22M,28F,Wilmers,Puma concolor
Bagadu,Barbara,Cagan,Canis lupus
NCM2,NCM4,Bogdan,Caracal caracal
PEC052,PEC066,Wheeldon,Canis latrans
JBOR,ORRR,Bertreaux,Vulpes lagopus
PEC018,PEC032,Wheeldon,Canis latrans
B09M_5609,B19F_5971,Serieys,CoyoteValley
RBVM,RMBR,Bertreaux,Vulpes lagopus
PEC129,PEC137,Wheeldon,Canis latrans
BOBB,ORRR,Bertreaux,Vulpes lagopus
B16M_5973,B23M_5624,Serieys,CoyoteValley
PEC054,PEC059,Wheeldon,Canis latrans
51M,66M,Wilmers,Puma concolor
PEC113,PEC129,Wheeldon,Canis latrans
PEC135,PEC141,Wheeldon,Canis latrans
PEC009,PEC027,Wheeldon,Canis latrans
11F,28F,Wilmers,Puma concolor
Jumbo,Whisky,Drouilly,Caracal caracal
PEC112,PEC135,Wheeldon,Canis latrans
CAN06,CAN53,Gustavo,Leopardus geoffroyi
PEC116,PEC129,Wheeldon,Canis latrans
Bobcat_B34F,Bobcat_B35F,Serieys,AromasHills
B20F_5968,B23M_5624,Serieys,CoyoteValley
Bobcat_B32F,Bobcat_GF01F,Serieys,AromasHills
JMVJ,ORRR,Bertreaux,Vulpes lagopus
BBJackal_Leroy,BBJackal_Rain,Drouilly,Canis mesomelas
PEC140,PEC141,Wheeldon,Canis latrans
B09M_5609,B17F_5621,Serieys,CoyoteValley
PEC018,PEC029,Wheeldon,Canis latrans
30F,32M,Wilmers,Puma concolor
PEC054,PEC066,Wheeldon,Canis latrans
PEC104,PEC106,Wheeldon,Canis latrans
17M,27M,Wilmers,Puma concolor
PEC102,PEC103,Wheeldon,Canis latrans
BBJO,ORRR,Bertreaux,Vulpes lagopus
Arj,Leo,Roshier,Dataset2
Lynx_Jerez,Lynx_Kun,Extremadura,Lynx pardinus
REDFOX-2018-05-Wursten,REDFOX-2018-08-Wursten,Garthe,Vulpes vulpes
PEC043,PEC047,Wheeldon,Canis latrans
24F,26M,Wilmers,Puma concolor
PEC001,PEC015,Wheeldon,Canis latrans
JVOJ,OBBB,Bertreaux,Vulpes lagopus
PEC081,PEC107,Wheeldon,Canis latrans
PEC042,PEC047,Wheeldon,Canis latrans
PEC004,PEC009,Wheeldon,Canis latrans
Bobcat_B35F,Bobcat_B37M,Serieys,AromasHills
Bobcat_B30F,Bobcat_B35F,Serieys,AromasHills
NCM10,NCM11,Bogdan,Caracal caracal
Ani,Cat,Cagan,Lynx lynx
OJBJ,VORB,Bertreaux,Vulpes lagopus
BOBB,OJBJ,Bertreaux,Vulpes lagopus
28F,37M,Wilmers,Puma concolor
RMJJ,RVJO,Bertreaux,Vulpes lagopus
PEC006,PEC007,Wheeldon,Canis latrans
PEC015,PEC039,Wheeldon,Canis latrans
B18F_5614,B19F_5971,Serieys,CoyoteValley
10F,29F,Wilmers,Puma concolor
J027,N239,Hebblewhite,Canis lupus
PEC066,PEC086,Wheeldon,Canis latrans
NCF2,NCM8,Bogdan,Caracal caracal
B19F_5971,B22M_5969,Serieys,CoyoteValley
PEC023,PEC032,Wheeldon,Canis latrans
Roy,Ted,Roshier,Dataset2
BORR,RVJO,Bertreaux,Vulpes lagopus
PEC012,PEC032,Wheeldon,Canis latrans
Bobcat_B30F,Bobcat_GF01F,Serieys,AromasHills
NCM1,NCM4,Bogdan,Caracal caracal
PEC002,PEC015,Wheeldon,Canis latrans
Bobcat_B37M,Bobcat_GF01F,Serieys,AromasHills
Limofu,Morani,Wilmers,Panthera pardus
Ivy,Ted,Roshier,Dataset2
PEC014,PEC027,Wheeldon,Canis latrans
PEC122,PEC135,Wheeldon,Canis latrans
22M,31M,Wilmers,Puma concolor
PEC041,PEC047,Wheeldon,Canis latrans
B14M_5613,B16M_5973,Serieys,CoyoteValley
Degana,Fleita,Palomares,Felis silvestris
109F,25F,Wilmers,Puma concolor
PEC104,PEC105,Wheeldon,Canis latrans
W106,W110,Hebblewhite,Canis lupus
B17F_5621,B18F_5614,Serieys,CoyoteValley
PEC059,PEC086,Wheeldon,Canis latrans
Degana,Tejo,Palomares,Felis silvestris
PEC011,PEC015,Wheeldon,Canis latrans
Morani,Mzee,Wilmers,Panthera pardus
Bobcat_B32F,Bobcat_B35F,Serieys,AromasHills
B17F_5621,B22M_5969,Serieys,CoyoteValley
PEC044,PEC047,Wheeldon,Canis latrans
Spitfire,Zola,Serieys,Caracal caracal
PEC009,PEC023,Wheeldon,Canis latrans
NCM11,NCM8,Bogdan,Caracal caracal
2F,4M,Wilmers,Puma concolor
Bobcat_B34F,Bobcat_GF01F,Serieys,AromasHills
4M,7F,Wilmers,Puma concolor
PEC009,PEC012,Wheeldon,Canis latrans
PEC011,PEC032,Wheeldon,Canis latrans
B14M_5613,B20F_5968,Serieys,CoyoteValley
PEC020,PEC029,Wheeldon,Canis latrans
N211,N212,Hebblewhite,Canis lupus
34M,36M,Wilmers,Puma concolor
OBBB,ORRR,Bertreaux,Vulpes lagopus
22M,26M,Wilmers,Puma concolor
Ann,Mem,Roshier,Vulpes vulpes
REDFOX-2018-04-Wursten,REDFOX-2018-06-Wursten,Garthe,Vulpes vulpes
NCM2,NCM3,Bogdan,Caracal caracal
NCM10,NCM4,Bogdan,Caracal caracal
M04,W119,GreatLakesWolf,Canis lupus x lycaon
BBJackal_Luna,BBJackal_Pluto,Drouilly,Canis mesomelas
Ivy,Leo,Roshier,Dataset2
Ewaso,Morani,Wilmers,Panthera pardus
NCF2,NCM10,Bogdan,Caracal caracal
PEC101,PEC116,Wheeldon,Canis latrans
PEC012,PEC015,Wheeldon,Canis latrans
17M,23F,Wilmers,Puma concolor
PEC015,PEC023,Wheeldon,Canis latrans
PEC106,PEC114,Wheeldon,Canis latrans
12F,5M,Wilmers,Puma concolor
PEC093,PEC095,Wheeldon,Canis latrans
70M,78F,Wilmers,Puma concolor
PEC101,PEC113,Wheeldon,Canis latrans
Rocky,Tejo,Palomares,Felis silvestris
derek,shack,Gustavo,Dataset1
PEC009,PEC011,Wheeldon,Canis latrans
Don,Jen,Roshier,Vulpes vulpes
id18,per,Gustavo,Cerdocyon thous
beverly,shack,Gustavo,Dataset1
11F,26M,Wilmers,Puma concolor
PEC020,PEC032,Wheeldon,Canis latrans
B03F_5622/5974,B22M_5969,Serieys,CoyoteValley
id13,id18,Gustavo,Cerdocyon thous
PEC104,PEC108,Wheeldon,Canis latrans
Inger,Spank,Walton,Vulpes vulpes
Cornelis,Mike,Walton,Vulpes vulpes
B09M_5609,B16M_5973,Serieys,CoyoteValley
Don,Joy,Roshier,Vulpes vulpes
31M,37M,Wilmers,Puma concolor
Bobcat_B34F,Bobcat_B36F,Serieys,AromasHills
Dalvinha,Tex,Gustavo,Puma concolor
PEC106,PEC122,Wheeldon,Canis latrans
PEC002,PEC009,Wheeldon,Canis latrans
Bob,Reg,Roshier,Vulpes vulpes
PEC030,PEC035,Wheeldon,Canis latrans
B18F_5614,B25M_5618,Serieys,CoyoteValley
NCM13,NCM5,Bogdan,Caracal caracal
Clint,Fleita,Palomares,Felis silvestris
29F,38F,Wilmers,Puma concolor
PEC014,PEC023,Wheeldon,Canis latrans
B22M_5969,B25M_5618,Serieys,CoyoteValley
B09M_5609,B20F_5968,Serieys,CoyoteValley
Clint,Tejo,Palomares,Felis silvestris
PEC009,PEC020,Wheeldon,Canis latrans
PEC012,PEC014,Wheeldon,Canis latrans
Ann,Zoe,Roshier,Vulpes vulpes
26M,37M,Wilmers,Puma concolor
Bobcat_B36F,Bobcat_B37M,Serieys,AromasHills
T49,T50,GreatLakesWolf,Canis lupus x lycaon
Bobcat_B30F,Bobcat_B36F,Serieys,AromasHills
PEC101,PEC112,Wheeldon,Canis latrans
NCF4,NCM5,Bogdan,Caracal caracal
RBVM,RMJJ,Bertreaux,Vulpes lagopus
PEC014,PEC037,Wheeldon,Canis latrans
Celada,Degana,Palomares,Felis silvestris
PEC105,PEC114,Wheeldon,Canis latrans
PEC001,PEC009,Wheeldon,Canis latrans
Cat,Zoe,Roshier,Vulpes vulpes
Faya,Garfio,Palomares,Felis silvestris
Ted,Vic,Roshier,Dataset2
Margarita,Victoria,Wilmers,Panthera leo
107M,98F,Wilmers,Puma concolor
Protea,Titan,Serieys,Caracal caracal
19F,7F,Wilmers,Puma concolor
PEC049,PEC054,Wheeldon,Canis latrans
Janne,Viktor,Walton,Vulpes vulpes
20F,4M,Wilmers,Puma concolor
NCM1,NCM3,Bogdan,Caracal caracal
PEC011,PEC014,Wheeldon,Canis latrans
B16M_5973,B18F_5614,Serieys,CoyoteValley
PEC105,PEC122,Wheeldon,Canis latrans
Spitfire,Strandloper,Serieys,Caracal caracal
Jim,Moe,Roshier,Vulpes vulpes
BBJackal_Forest,BBJackal_Rooky,Drouilly,Canis mesomelas
Don,Kev,Roshier,Vulpes vulpes
PEC015,PEC027,Wheeldon,Canis latrans
PEC129,PEC131,Wheeldon,Canis latrans
B16M_5973,B22M_5969,Serieys,CoyoteValley
PEC106,PEC112,Wheeldon,Canis latrans
PEC002,PEC014,Wheeldon,Canis latrans
PEC053,PEC054,Wheeldon,Canis latrans
107M,109F,Wilmers,Puma concolor
Luna,Titan,Serieys,Caracal caracal
Bobcat_B32F,Bobcat_B36F,Serieys,AromasHills
B18F_5614,B20F_5968,Serieys,CoyoteValley
Bobcat_B28M,Bobcat_B35F,Serieys,AromasHills
Spitfire,Xolani,Serieys,Caracal caracal
B20F_5968,B22M_5969,Serieys,CoyoteValley
24F,7F,Wilmers,Puma concolor
Faya,Pepe,Palomares,Felis silvestris
RMBR,RVJO,Bertreaux,Vulpes lagopus
PEC108,PEC114,Wheeldon,Canis latrans
Bobcat_B27M,Bobcat_B35F,Serieys,AromasHills
Charlotte,Hedley,Wilmers,Panthera leo
Oryx,Ratel,Serieys,Caracal caracal
Liz,Moe,Roshier,Vulpes vulpes
PEC001,PEC014,Wheeldon,Canis latrans
JVOJ,OJOO,Bertreaux,Vulpes lagopus
66M,81F,Wilmers,Puma concolor
Arj,Wal,Roshier,Dataset2
PEC024,PEC029,Wheeldon,Canis latrans
PEC114,PEC120,Wheeldon,Canis latrans
PEC106,PEC137,Wheeldon,Canis latrans
JVOJ,RVJO,Bertreaux,Vulpes lagopus
PEC052,PEC053,Wheeldon,Canis latrans
Gustaf,Niklas,Walton,Vulpes vulpes
PEC106,PEC113,Wheeldon,Canis latrans
PEC108,PEC122,Wheeldon,Canis latrans
OBOB,RVJO,Bertreaux,Vulpes lagopus
Don,Oli,Roshier,Vulpes vulpes
19F,28F,Wilmers,Puma concolor
PEC101,PEC114,Wheeldon,Canis latrans
Bobcat_B31M,Bobcat_B35F,Serieys,AromasHills
PEC106,PEC116,Wheeldon,Canis latrans
Ann,Moe,Roshier,Vulpes vulpes
PEC105,PEC112,Wheeldon,Canis latrans
95F,98F,Wilmers,Puma concolor
Hen,Inger,Walton,Vulpes vulpes
PEC032,PEC037,Wheeldon,Canis latrans
PEC120,PEC122,Wheeldon,Canis latrans
Don,Lou,Roshier,Vulpes vulpes
Marine,Oryx,Serieys,Caracal caracal
Con,Ken2016,Roshier,Dataset1
PEC043,PEC049,Wheeldon,Canis latrans
PEC019,PEC029,Wheeldon,Canis latrans
PEC042,PEC049,Wheeldon,Canis latrans
NCF1,NCM11,Bogdan,Caracal caracal
Jim,Zoe,Roshier,Vulpes vulpes
PEC029,PEC037,Wheeldon,Canis latrans
PEC028,PEC030,Wheeldon,Canis latrans
Reg,Val,Roshier,Vulpes vulpes
PEC105,PEC137,Wheeldon,Canis latrans
OJBJ,RMJJ,Bertreaux,Vulpes lagopus
PEC081,PEC114,Wheeldon,Canis latrans
OJOO,ORRR,Bertreaux,Vulpes lagopus
PEC105,PEC113,Wheeldon,Canis latrans
PEC040,PEC041,Wheeldon,Canis latrans
Bobcat_B29F,Bobcat_B30F,Serieys,AromasHills
13F,5M,Wilmers,Puma concolor
PEC089,PEC095,Wheeldon,Canis latrans
ORRR,RVJO,Bertreaux,Vulpes lagopus
PEC043,PEC053,Wheeldon,Canis latrans
PEC108,PEC112,Wheeldon,Canis latrans
PEC105,PEC116,Wheeldon,Canis latrans
Hedley,Jasiri,Wilmers,Panthera leo
BBJackal_Eskimo,BBJackal_Pluto,Drouilly,Canis mesomelas
38F,66M,Wilmers,Puma concolor
Ada,Val,Roshier,Vulpes vulpes
NCF2,NCF4,Bogdan,Caracal caracal
16M,17M,Wilmers,Puma concolor
36M,38F,Wilmers,Puma concolor
PEC107,PEC131,Wheeldon,Canis latrans
Lynx_Nevada,Lynx_Nubero,Extremadura,Lynx pardinus
NCF4,NCM4,Bogdan,Caracal caracal
PEC112,PEC120,Wheeldon,Canis latrans
Liz,Zoe,Roshier,Vulpes vulpes
Brecina,Tejo,Palomares,Felis silvestris
PEC110,PEC116,Wheeldon,Canis latrans
T27,T28,GreatLakesWolf,Canis lupus x lycaon
PEC044,PEC049,Wheeldon,Canis latrans
NCF2,NCM13,Bogdan,Caracal caracal
PEC009,PEC019,Wheeldon,Canis latrans
27M,29F,Wilmers,Puma concolor
PEC110,PEC113,Wheeldon,Canis latrans
109F,38F,Wilmers,Puma concolor
Arj,Fay,Roshier,Dataset2
Bobcat_B28M,Bobcat_B36F,Serieys,AromasHills
19F,31M,Wilmers,Puma concolor
NCM13,NCM4,Bogdan,Caracal caracal
PEC110,PEC137,Wheeldon,Canis latrans
PEC101,PEC104,Wheeldon,Canis latrans
PEC007,PEC027,Wheeldon,Canis latrans
PEC108,PEC137,Wheeldon,Canis latrans
Bobcat_B29F,Bobcat_B32F,Serieys,AromasHills
Jim,Mem,Roshier,Vulpes vulpes
Bobcat_B27M,Bobcat_B36F,Serieys,AromasHills
PEC108,PEC113,Wheeldon,Canis latrans
Cecia,Victoria,Wilmers,Panthera leo
M13,W119,GreatLakesWolf,Canis lupus x lycaon
PEC108,PEC116,Wheeldon,Canis latrans
PEC120,PEC137,Wheeldon,Canis latrans
PEC044,PEC053,Wheeldon,Canis latrans
Ann_2,Spank,Walton,Vulpes vulpes
Lynx_Nebulosa,Lynx_Neruda,Extremadura,Lynx pardinus
19F,26M,Wilmers,Puma concolor
PEC113,PEC120,Wheeldon,Canis latrans
Diabla,Hedley,Wilmers,Panthera leo
Don,Ern,Roshier,Vulpes vulpes
Bobcat_B31M,Bobcat_B36F,Serieys,AromasHills
PEC116,PEC120,Wheeldon,Canis latrans
PEC110,PEC112,Wheeldon,Canis latrans
Lynx_Noz,Lynx_Nubero,Extremadura,Lynx pardinus
B21M_5618,B22M_5969,Serieys,CoyoteValley
Liz,Mem,Roshier,Vulpes vulpes
81F,98F,Wilmers,Puma concolor
41M,7F,Wilmers,Puma concolor
Janne,Spank,Walton,Vulpes vulpes
55F,66M,Wilmers,Puma concolor
Hedley,Kichaka,Wilmers,Panthera leo
Gustaf,Janne,Walton,Vulpes vulpes
117M,118M,Wilmers,Puma concolor
Fleita,Pepe,Palomares,Felis silvestris
NCF2,NCM9,Bogdan,Caracal caracal
52F,55F,Wilmers,Puma concolor
PEC103,PEC116,Wheeldon,Canis latrans
18F,4M,Wilmers,Puma concolor
Oryx,West,Serieys,Caracal caracal
Chunga,Dakteri,Wilmers,Panthera leo
PEC086,PEC095,Wheeldon,Canis latrans
PEC103,PEC113,Wheeldon,Canis latrans
PEC081,PEC137,Wheeldon,Canis latrans
PEC066,PEC088,Wheeldon,Canis latrans
RBVM,VORB,Bertreaux,Vulpes lagopus
NCM10,NCM7,Bogdan,Caracal caracal
PEC081,PEC113,Wheeldon,Canis latrans
PEC007,PEC023,Wheeldon,Canis latrans
REDFOX-2018-04-Wursten,REDFOX-2018-08-Wursten,Garthe,Vulpes vulpes
Daniella,Spank,Walton,Vulpes vulpes
PEC007,PEC012,Wheeldon,Canis latrans
Ben,Roy,Roshier,Dataset1
PEC081,PEC116,Wheeldon,Canis latrans
16M,7F,Wilmers,Puma concolor
Bobcat_B35F,Bobcat_B38M,Serieys,AromasHills
NCM11,NCM12,Bogdan,Caracal caracal
Celada,Garfio,Palomares,Felis silvestris
PEC047,PEC059,Wheeldon,Canis latrans
PEC110,PEC122,Wheeldon,Canis latrans
PEC059,PEC088,Wheeldon,Canis latrans
107M,66M,Wilmers,Puma concolor
Don,Ros,Roshier,Vulpes vulpes
Lucky,Moonshine,Drouilly,Caracal caracal
PEC066,PEC080,Wheeldon,Canis latrans
Apethe,Chunga,Wilmers,Panthera leo
PEC007,PEC011,Wheeldon,Canis latrans
NCM1,NCM7,Bogdan,Caracal caracal
PEC103,PEC112,Wheeldon,Canis latrans
PEC047,PEC066,Wheeldon,Canis latrans
PEC110,PEC114,Wheeldon,Canis latrans
OJBJ,RMBR,Bertreaux,Vulpes lagopus
Bob,Oli,Roshier,Vulpes vulpes
PEC129,PEC135,Wheeldon,Canis latrans
PEC002,PEC007,Wheeldon,Canis latrans
PEC059,PEC080,Wheeldon,Canis latrans
PEC018,PEC027,Wheeldon,Canis latrans
13F,4M,Wilmers,Puma concolor
PEC137,PEC141,Wheeldon,Canis latrans
Celada,Pepe,Palomares,Felis silvestris
Kim,Liz,Roshier,Vulpes vulpes
30F,4M,Wilmers,Puma concolor
Bob,Cat,Roshier,Vulpes vulpes
PEC007,PEC020,Wheeldon,Canis latrans
26M,43F,Wilmers,Puma concolor
Lynx_Neruda,Lynx_Nitrógeno,Extremadura,Lynx pardinus
Chunga,Merimela,Wilmers,Panthera leo
Kenneth,Niklas,Walton,Vulpes vulpes
27M,36M,Wilmers,Puma concolor
PEC023,PEC030,Wheeldon,Canis latrans
Bea,Val,Roshier,Vulpes vulpes
PEC001,PEC007,Wheeldon,Canis latrans
PEC101,PEC107,Wheeldon,Canis latrans
Bobcat_B29F,Bobcat_B31M,Serieys,AromasHills
22M,4M,Wilmers,Puma concolor
PEC041,PEC054,Wheeldon,Canis latrans
Bengt,Cristina_1,Walton,Vulpes vulpes
PEC103,PEC122,Wheeldon,Canis latrans
NCF4,NCM12,Bogdan,Caracal caracal
11F,4M,Wilmers,Puma concolor
Daniella,Mattias,Walton,Vulpes vulpes
PEC066,PEC068,Wheeldon,Canis latrans
PEC011,PEC030,Wheeldon,Canis latrans
NCM2,NCM7,Bogdan,Caracal caracal
PEC103,PEC114,Wheeldon,Canis latrans
NCM3,NCM6,Bogdan,Caracal caracal
PEC005,PEC023,Wheeldon,Canis latrans
PEC083,PEC092,Wheeldon,Canis latrans
OJBJ,ORRR,Bertreaux,Vulpes lagopus
PEC005,PEC012,Wheeldon,Canis latrans
NCM12,NCM13,Bogdan,Caracal caracal
PEC104,PEC110,Wheeldon,Canis latrans
Chumvi,Mzee,Wilmers,Panthera pardus
PEC059,PEC068,Wheeldon,Canis latrans
PEC018,PEC023,Wheeldon,Canis latrans
PEC012,PEC018,Wheeldon,Canis latrans
27M,31M,Wilmers,Puma concolor
PEC020,PEC030,Wheeldon,Canis latrans
17M,25F,Wilmers,Puma concolor
Diabla,Merimela,Wilmers,Panthera leo
Janne,Oskar_1,Walton,Vulpes vulpes
PEC114,PEC131,Wheeldon,Canis latrans
PEC005,PEC011,Wheeldon,Canis latrans
Chumvi,Ewaso,Wilmers,Panthera pardus
Dakteri,Victoria,Wilmers,Panthera leo
PEC122,PEC141,Wheeldon,Canis latrans
Ken2016,Wes,Roshier,Dataset1
K019,K030,Hebblewhite,Canis lupus
PEC011,PEC018,Wheeldon,Canis latrans
Eben,Xolani,Serieys,Caracal caracal
PEC002,PEC005,Wheeldon,Canis latrans
PEC087,PEC088,Wheeldon,Canis latrans
PEC122,PEC131,Wheeldon,Canis latrans
PEC114,PEC141,Wheeldon,Canis latrans
Bobcat_B35F,Bobcat_GF01F,Serieys,AromasHills
PEC005,PEC020,Wheeldon,Canis latrans
Apethe,Diabla,Wilmers,Panthera leo
PEC002,PEC018,Wheeldon,Canis latrans
PEC041,PEC043,Wheeldon,Canis latrans
Oskar_1,Theo,Walton,Vulpes vulpes
PEC028,PEC037,Wheeldon,Canis latrans
NCM12,NCM9,Bogdan,Caracal caracal
PEC029,PEC035,Wheeldon,Canis latrans
