s1.timestamp,distance,pair1,pair2,study,species
2015-10-04 21:00:00,89.0607307596799,NCF2,NCM9,Bogdan,Caracal caracal
2013-01-03 07:09:59,65.0656497878335,PEC081,PEC116,Wheeldon,Canis latrans
