s1.timestamp,distance,pair1,pair2,study,species
2015-06-22 21:30:00,21.3888610154544,BBJackal_Eskimo,BBJackal_Pluto,Drouilly,Canis mesomelas
2017-02-12 21:04:00,35.5375689218218,Lynx_Nevada,Lynx_Nubero,Extremadura,Lynx pardinus
